site,role,records,observed_targets,raw_timestamp_first,raw_timestamp_last,boundary_index,eligible_origins
59,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
60,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
61,validation,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
62,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
63,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
64,validation,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
65,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
66,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
67,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
68,test,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
69,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
70,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
71,validation,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
72,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
73,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
74,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
75,test,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
76,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
77,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
78,test,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
79,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
80,test,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
81,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
82,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
83,validation,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
84,test,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
85,test,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,2545
86,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
87,train,12840,12840,2021-01-02 00:00:00,2022-06-20 23:00:00,10272,9913
